UBIGEO,Departamento,Provincia,Distrito,RIESGO_SEQUIA_SUSCEPTIBILIDAD,VULNERABILIDAD_SOCIAL_SEQUIA,RIESGO_DEFICIT_LLUVIAS,POBLACION_TOTAL,POBLACION_MENOR_5,POBLACION_MAYOR_60,PORCENTAJE_ANEMIA,PORCENTAJE_DESNUTRICION_INFANTIL,PORCENTAJE_DEFICIT_AGUA_POTABLE,SUSCEPTIBILIDAD_INUNDACION_FEN,NIVEL_RIESGO_INUNDACION_CONSOLIDADO,SCORE_RIESGO_MOV_MASA_FEN,NIVEL_RIESGO_MOV_MASA_FEN,CANT_EESS_TOTALES,CAMAS_HOSPITALARIAS_TOTALES,RED_AGUA_KM,CANT_RESERVORIOS_AGUA,CANT_PTAP_AGUA_TRATADA,RED_VIAL_NACIONAL_KM,CANT_PUENTES,NIVEL_RIESGO_SISMO,NIVEL_RIESGO_TSUNAMI,NIVEL_RIESGO_MOV_MASA_PLANSIS,NIVEL_RIESGO_INCENDIO_FORESTAL
030220,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,Alto,Medio,Alto,4081,461,308,50.067225,35.689886,4.083485,3,Medio,1.725,Bajo,2,5,0,0,0,12.734,1,Bajo,,,Muy alto
030415,APURIMAC,AYMARAES,TINTAY,Alto,Medio,Alto,2272,161,550,27.872587,17.747696,11.658654,3,Alto,2.325,Medio,4,1,0,0,0,16.635,2,Medio,,,Muy alto
030409,APURIMAC,AYMARAES,LUCRE,Alto,Medio,Alto,1529,143,329,18.359307,24.986192,7.899807,3,Alto,2.5,Medio,5,0,0,0,0,0,1,Medio,,,Muy alto
030214,APURIMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,Alto,Alto,Alto,1613,168,223,48.69554,41.633646,9.561753,2,Bajo,1.95,Bajo,4,0,0,0,0,0,1,Alto,,Muy Alto,Muy alto
030206,APURIMAC,ANDAHUAYLAS,HUAYANA,Alto,Medio,Alto,750,58,144,52.692659,30.681838,4.6875,2,Medio,1.775,Bajo,2,0,0,0,0,0,1,Medio,,Muy Alto,Muy alto
030404,APURIMAC,AYMARAES,CHAPIMARCA,Alto,Medio,Alto,1893,145,432,31.031701,21.659533,38.834951,2,Medio,2.325,Medio,5,7,0,0,0,3.963,1,Bajo,,,Muy alto
030405,APURIMAC,AYMARAES,COLCABAMBA,Alto,Bajo,Medio,693,51,168,35.690476,19.368457,1.923077,3,Alto,1.925,Bajo,1,0,0,0,0,11.535,1,Bajo,,,Muy alto
030304,APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,Alto,Medio,Alto,1711,123,363,10.515761,26.792125,14.048338,3,Medio,2.125,Medio,6,0,0,0,0,0,1,Alto,,Alto,Alto
030406,APURIMAC,AYMARAES,COTARUSE,Alto,Medio,Alto,2570,197,343,17.864146,27.674003,16.01467,4,Alto,2.225,Medio,10,0,0,0,0,58.637,4,Alto,,Muy Alto,Alto
030301,APURIMAC,ANTABAMBA,ANTABAMBA,Alto,Alto,Alto,2776,193,524,36.577694,29.072649,24.647887,2,Medio,1.95,Bajo,6,9,0,0,0,0,1,Medio,,Medio,Alto
